date,state,deathIncrease,positiveIncrease,negativeIncrease,hospitalizedIncrease
2020-10-16,AK,1,228,2975,0
2020-10-16,AL,30,1212,6043,220
2020-10-16,AR,20,1015,11082,44
2020-10-16,AS,0,0,0,0
2020-10-16,AZ,17,738,7640,29
2020-10-16,CA,73,3075,101069,0
2020-10-16,CO,4,1141,9699,59
2020-10-16,CT,2,802,32262,0
2020-10-16,DC,3,89,5084,0
2020-10-16,DE,1,164,2345,0
2020-10-16,FL,98,3449,26715,173
2020-10-16,GA,64,1609,22880,136
2020-10-16,GU,1,111,546,0
2020-10-16,HI,1,90,0,17
2020-10-16,IA,17,1229,-14060,0
2020-10-16,ID,1,718,2143,15
2020-10-16,IL,52,5103,83205,0
2020-10-16,IN,23,2283,9264,120
2020-10-16,KS,21,1700,7662,61
2020-10-16,KY,4,1311,19739,39
2020-10-16,LA,20,774,18871,0
2020-10-16,MA,30,767,14260,25
2020-10-16,MD,4,781,10841,33
2020-10-16,ME,1,29,7545,2
2020-10-16,MI,15,2206,51215,0
2020-10-16,MN,13,2290,21148,66
2020-10-16,MO,17,2017,0,0
2020-10-16,MP,0,3,0,0
2020-10-16,MS,8,1116,24889,0
2020-10-16,MT,5,662,4968,27
2020-10-16,NC,36,2684,36284,0
2020-10-16,ND,12,864,1238,29
2020-10-16,NE,5,961,4528,38
2020-10-16,NH,2,88,2151,0
2020-10-16,NJ,5,810,30232,68
2020-10-16,NM,1,668,7695,30
2020-10-16,NV,9,716,0,0
2020-10-16,NY,10,1707,134332,0
2020-10-16,OH,16,2148,40360,86
2020-10-16,OK,11,1472,17908,0
2020-10-16,OR,6,410,5503,18
2020-10-16,PA,25,1566,13847,0
2020-10-16,PR,15,327,0,0
2020-10-16,RI,3,253,3148,16
2020-10-16,SC,8,1147,18562,56
2020-10-16,SD,3,793,1958,44
2020-10-16,TN,7,666,5184,73
2020-10-16,TX,91,5870,93286,0
2020-10-16,UT,8,1496,7811,48
2020-10-16,VA,20,1183,19088,73
2020-10-16,VI,1,2,137,0
2020-10-16,VT,0,12,867,0
2020-10-16,WA,11,676,22007,73
2020-10-16,WI,23,4105,10725,135
2020-10-16,WV,3,498,10667,0
2020-10-16,WY,0,290,740,5
2020-10-15,AK,1,165,2119,0
2020-10-15,AL,50,1185,6939,0
2020-10-15,AR,11,1278,11592,51
2020-10-15,AS,0,0,0,0
2020-10-15,AZ,17,1113,10731,96
2020-10-15,CA,118,3329,88996,0
2020-10-15,CO,16,692,6600,65
2020-10-15,CT,3,167,15678,198
2020-10-15,DC,0,34,2318,0
2020-10-15,DE,1,95,1715,0
2020-10-15,FL,144,3356,24918,212
2020-10-15,GA,22,1640,23833,163
2020-10-15,GU,1,86,485,0
2020-10-15,HI,10,99,0,10
2020-10-15,IA,9,1333,5020,0
2020-10-15,ID,4,645,1603,36
2020-10-15,IL,53,4015,63071,0
2020-10-15,IN,28,1943,8399,125
2020-10-15,KS,0,0,0,0
2020-10-15,KY,20,1182,30356,27
2020-10-15,LA,12,743,25541,0
2020-10-15,MA,25,587,14169,13
2020-10-15,MD,6,630,9551,40
2020-10-15,ME,1,20,5645,1
2020-10-15,MI,34,2458,40119,0
2020-10-15,MN,19,1163,8943,67
2020-10-15,MO,22,1875,5210,0
2020-10-15,MP,0,0,0,0
2020-10-15,MS,12,1322,0,0
2020-10-15,MT,5,723,4530,39
2020-10-15,NC,18,2532,30996,0
2020-10-15,ND,12,706,822,33
2020-10-15,NE,3,924,3442,38
2020-10-15,NH,5,77,1880,1
2020-10-15,NJ,6,971,32519,115
2020-10-15,NM,3,577,7132,31
2020-10-15,NV,7,655,0,0
2020-10-15,NY,13,1460,131752,0
2020-10-15,OH,5,2178,32149,108
2020-10-15,OK,11,1221,11878,72
2020-10-15,OR,3,365,7359,20
2020-10-15,PA,21,1598,14468,0
2020-10-15,PR,1,569,0,0
2020-10-15,RI,2,274,3439,15
2020-10-15,SC,14,1297,18746,63
2020-10-15,SD,13,797,1121,37
2020-10-15,TN,36,2289,22553,45
2020-10-15,TX,95,4726,39488,0
2020-10-15,UT,2,1498,5817,51
2020-10-15,VA,7,1331,21355,86
2020-10-15,VI,0,-1,179,0
2020-10-15,VT,0,14,456,0
2020-10-15,WA,10,734,21867,9
2020-10-15,WI,18,4040,11455,138
2020-10-15,WV,2,264,6685,0
2020-10-15,WY,0,198,5165,2
2020-10-14,AK,4,144,2244,0
2020-10-14,AL,41,784,4352,195
2020-10-14,AR,23,1079,9793,79
2020-10-14,AS,0,0,0,0
2020-10-14,AZ,5,901,7263,54
2020-10-14,CA,58,2666,89104,0
2020-10-14,CO,11,1048,8218,88
2020-10-14,CT,4,164,8212,0
2020-10-14,DC,1,64,5117,0
2020-10-14,DE,1,71,1000,0
2020-10-14,FL,66,2883,18940,258
2020-10-14,GA,16,1297,22463,156
2020-10-14,GU,0,75,451,0
2020-10-14,HI,4,61,0,12
2020-10-14,IA,12,1046,3338,0
2020-10-14,ID,2,584,2276,28
2020-10-14,IL,48,2862,49807,0
2020-10-14,IN,14,1165,5972,113
2020-10-14,KS,67,1293,6453,70
2020-10-14,KY,7,1322,9903,220
2020-10-14,LA,16,880,5996,0
2020-10-14,MA,17,580,12539,34
2020-10-14,MD,10,575,8770,65
2020-10-14,ME,0,36,6088,0
2020-10-14,MI,13,1593,28260,0
2020-10-14,MN,-24,1369,11181,85
2020-10-14,MO,-2,4449,-99955,0
2020-10-14,MP,0,0,335,0
2020-10-14,MS,25,876,0,0
2020-10-14,MT,8,599,4329,9
2020-10-14,NC,40,1926,20726,0
2020-10-14,ND,17,702,786,33
2020-10-14,NE,5,704,3214,12
2020-10-14,NH,2,70,3699,2
2020-10-14,NJ,9,938,63344,0
2020-10-14,NM,3,351,8063,23
2020-10-14,NV,17,479,3262,0
2020-10-14,NY,7,1232,110512,0
2020-10-14,OH,16,2039,25872,151
2020-10-14,OK,13,1122,10831,264
2020-10-14,OR,3,380,9895,31
2020-10-14,PA,27,1276,14636,0
2020-10-14,PR,4,976,0,0
2020-10-14,RI,8,204,2165,23
2020-10-14,SC,17,926,14158,81
2020-10-14,SD,3,876,1043,52
2020-10-14,TN,31,1709,16488,62
2020-10-14,TX,95,4667,50986,0
2020-10-14,UT,5,1144,7811,77
2020-10-14,VA,9,805,11125,98
2020-10-14,VI,0,3,122,0
2020-10-14,VT,0,3,693,0
2020-10-14,WA,0,0,0,0
2020-10-14,WI,29,3323,11435,153
2020-10-14,WV,4,263,4536,0
2020-10-14,WY,0,213,-3030,9
2020-10-13,AK,0,155,8707,0
2020-10-13,AL,0,1117,5737,261
2020-10-13,AR,25,680,7118,109
2020-10-13,AS,0,0,0,0
2020-10-13,AZ,8,684,6286,55
2020-10-13,CA,9,2378,139998,0
2020-10-13,CO,0,576,5569,22
2020-10-13,CT,1,320,13084,0
2020-10-13,DC,0,46,4216,0
2020-10-13,DE,3,105,1366,0
2020-10-13,FL,123,2725,23416,212
2020-10-13,GA,25,993,11429,106
2020-10-13,GU,1,96,582,0
2020-10-13,HI,0,42,0,4
2020-10-13,IA,13,529,2200,0
2020-10-13,ID,3,597,1783,17
2020-10-13,IL,29,2851,53142,0
2020-10-13,IN,27,1549,6522,131
2020-10-13,KS,0,0,0,0
2020-10-13,KY,14,761,25439,138
2020-10-13,LA,10,682,19900,0
2020-10-13,MA,13,749,13112,17
2020-10-13,MD,9,482,8392,43
2020-10-13,ME,0,28,23112,0
2020-10-13,MI,30,1466,36996,0
2020-10-13,MN,7,1135,9974,79
2020-10-13,MO,0,0,0,0
2020-10-13,MP,0,0,0,0
2020-10-13,MS,14,713,0,0
2020-10-13,MT,5,486,8707,7
2020-10-13,NC,43,1734,25035,0
2020-10-13,ND,14,508,898,27
2020-10-13,NE,3,457,3098,17
2020-10-13,NH,0,136,4138,6
2020-10-13,NJ,7,988,0,71
2020-10-13,NM,4,379,5154,25
2020-10-13,NV,10,487,2022,0
2020-10-13,NY,11,1393,97677,0
2020-10-13,OH,12,1447,35370,123
2020-10-13,OK,15,1309,31705,-19
2020-10-13,OR,6,313,5709,13
2020-10-13,PA,16,1342,15387,0
2020-10-13,PR,3,306,0,0
2020-10-13,RI,2,129,1465,0
2020-10-13,SC,17,828,12836,54
2020-10-13,SD,0,414,744,25
2020-10-13,TN,23,1147,12757,61
2020-10-13,TX,64,5289,55340,0
2020-10-13,UT,0,987,7814,52
2020-10-13,VA,11,1235,19684,152
2020-10-13,VI,0,0,117,0
2020-10-13,VT,0,10,835,0
2020-10-13,WA,21,1740,60730,88
2020-10-13,WI,34,3428,11262,147
2020-10-13,WV,2,274,4958,0
2020-10-13,WY,3,162,2703,5
2020-10-12,AK,0,198,2732,0
2020-10-12,AL,1,734,3970,0
2020-10-12,AR,17,654,7844,50
2020-10-12,AS,0,0,0,0
2020-10-12,AZ,0,475,7567,4
2020-10-12,CA,8,3449,140888,0
2020-10-12,CO,0,819,9572,14
2020-10-12,CT,2,1339,99066,0
2020-10-12,DC,0,38,2614,0
2020-10-12,DE,2,159,3552,0
2020-10-12,FL,47,1533,15219,91
2020-10-12,GA,13,902,16185,21
2020-10-12,GU,0,92,627,0
2020-10-12,HI,1,101,0,6
2020-10-12,IA,12,463,2217,0
2020-10-12,ID,0,365,1488,10
2020-10-12,IL,13,2742,44837,0
2020-10-12,IN,6,1574,8096,124
2020-10-12,KS,8,2055,9837,54
2020-10-12,KY,3,638,27753,27
2020-10-12,LA,14,60,3337,0
2020-10-12,MA,13,760,18036,11
2020-10-12,MD,4,504,10087,49
2020-10-12,ME,0,29,0,0
2020-10-12,MI,6,1932,48856,0
2020-10-12,MN,3,1171,9857,67
2020-10-12,MO,0,0,0,0
2020-10-12,MP,0,0,0,0
2020-10-12,MS,0,296,0,184
2020-10-12,MT,2,423,9777,12
