date,state-ids,death,hospitalized,negative,positive
2020-10-14,1,64,,505994,11183
2020-10-14,2,2706,18635,1078476,167977
2020-10-14,3,1634,6148,1083107,95246
2020-10-14,4,0,,1616,0
2020-10-14,5,5772,20366,1366610,227635
2020-10-14,6,16639,,15570415,855072
2020-10-14,7,2009,8003,957890,80085
2020-10-14,8,4537,11845,1856863,61861
2020-10-14,9,638,,432130,16132
2020-10-14,10,660,,294358,22465
2020-10-14,11,15788,47011,4873615,741632
2020-10-14,12,7470,29918,2869707,334601
2020-10-14,13,61,,53553,3341
2020-10-14,14,173,951,295153,13773
2020-10-14,15,1497,,731869,97384
2020-10-14,16,512,2086,296616,49247
2020-10-14,17,9320,,6136318,330643
2020-10-14,18,3836,14228,1371791,139269
2020-10-14,19,838,3309,510672,69155
2020-10-14,20,1276,6479,1530828,83013
2020-10-14,21,5695,,2343514,176209
2020-10-14,22,9647,12933,2318868,140992
2020-10-14,23,4022,16215,1627736,132918
2020-10-14,24,143,463,514586,5816
2020-10-14,25,7268,,3974957,154455
2020-10-14,26,2180,8585,1497468,115943
2020-10-14,27,2420,,1203482,148679
2020-10-14,28,2,4,15456,77
2020-10-14,29,3140,6237,704655,106817
2020-10-14,30,225,920,394369,20210
2020-10-14,31,3856,,3230828,236407
2020-10-14,32,277,1159,234286,28947
2020-10-14,33,527,2555,465868,53543
2020-10-14,34,458,760,292270,9349
2020-10-14,35,16191,23977,3820844,216023
2020-10-14,36,918,3758,977607,33713
2020-10-14,37,1691,,660104,87314
2020-10-14,38,25605,89995,11864240,477940
2020-10-14,39,5033,16716,3552987,173665
2020-10-14,40,1132,7529,1283054,102615
2020-10-14,41,608,2848,723392,38160
2020-10-14,42,8411,,2074729,175922
2020-10-14,43,742,,305972,55516
2020-10-14,44,1147,2984,355899,27164
2020-10-14,45,3593,9735,1366756,159809
2020-10-14,46,291,1963,192106,30215
2020-10-14,47,2828,9371,3023283,220538
2020-10-14,48,16717,,6262594,805082
2020-10-14,49,527,4460,851724,88963
2020-10-14,50,3381,19754,2152330,161610
2020-10-14,51,20,,20859,1328
2020-10-14,52,58,,173367,1889
2020-10-14,53,2211,7874,2029133,94775
2020-10-14,54,1547,8754,1568389,167082
2020-10-14,55,391,,630647,18818
2020-10-14,56,57,352,102849,8177
2020-10-13,1,60,,503750,11039
2020-10-13,2,2665,18440,1074124,167193
2020-10-13,3,1611,6069,1073314,94167
2020-10-13,4,0,,1616,0
2020-10-13,5,5767,20312,1359347,226734
2020-10-13,6,16581,,15481311,852406
2020-10-13,7,1998,7915,949672,79037
2020-10-13,8,4533,11845,1848651,61697
2020-10-13,9,637,,427013,16068
2020-10-13,10,659,,293358,22394
2020-10-13,11,15722,46753,4854675,738749
2020-10-13,12,7454,29762,2847244,333304
2020-10-13,13,61,,53102,3266
2020-10-13,14,169,939,295153,13712
2020-10-13,15,1485,,728531,96338
2020-10-13,16,510,2058,294340,48663
2020-10-13,17,9272,,6086511,327781
2020-10-13,18,3822,14115,1365819,138104
2020-10-13,19,771,3239,504219,67862
2020-10-13,20,1269,6259,1520925,81691
2020-10-13,21,5679,,2337518,175329
2020-10-13,22,9630,12899,2306329,140412
2020-10-13,23,4012,16150,1618966,132343
2020-10-13,24,143,463,508498,5780
2020-10-13,25,7255,,3946697,152862
2020-10-13,26,2204,8500,1486287,114574
2020-10-13,27,2422,,1303437,144230
2020-10-13,28,2,4,15121,77
2020-10-13,29,3115,6237,704655,105941
2020-10-13,30,217,911,390040,19611
2020-10-13,31,3816,,3210102,234481
2020-10-13,32,260,1126,233500,28245
2020-10-13,33,522,2543,462654,52839
2020-10-13,34,456,758,288571,9279
2020-10-13,35,16182,23977,3757500,215085
2020-10-13,36,915,3735,969544,33362
2020-10-13,37,1674,,656842,86835
2020-10-13,38,25598,89995,11753728,476708
2020-10-13,39,5017,16565,3527115,171626
2020-10-13,40,1119,7265,1272223,101493
2020-10-13,41,605,2817,713497,37780
2020-10-13,42,8384,,2060093,174646
2020-10-13,43,738,,305972,54540
2020-10-13,44,1139,2961,353734,26960
2020-10-13,45,3576,9654,1352598,158883
2020-10-13,46,288,1911,191063,29339
2020-10-13,47,2797,9309,3006795,218829
2020-10-13,48,16622,,6211608,800415
2020-10-13,49,522,4383,843913,87819
2020-10-13,50,3372,19656,2141205,160805
2020-10-13,51,20,,20737,1325
2020-10-13,52,58,,172674,1886
2020-10-13,53,2211,7874,2029133,94775
2020-10-13,54,1518,8601,1556954,163759
2020-10-13,55,387,,626111,18555
2020-10-13,56,57,343,105879,7964
2020-10-12,1,60,,495043,10884
2020-10-12,2,2665,18179,1068387,166076
2020-10-12,3,1586,5960,1066196,93487
2020-10-12,4,0,,1616,0
2020-10-12,5,5759,20257,1353061,226050
2020-10-12,6,16572,,15341313,850028
2020-10-12,7,1998,7893,944103,78461
2020-10-12,8,4532,11845,1835567,61377
2020-10-12,9,637,,422797,16022
2020-10-12,10,656,,291992,22289
2020-10-12,11,15599,46541,4831259,736024
2020-10-12,12,7429,29656,2835815,332311
2020-10-12,13,60,,52520,3170
2020-10-12,14,169,935,295153,13670
2020-10-12,15,1472,,726331,95809
2020-10-12,16,507,2041,292557,48066
2020-10-12,17,9243,,6033369,324930
2020-10-12,18,3795,13984,1359297,136555
2020-10-12,19,771,3239,504219,67862
2020-10-12,20,1255,6121,1495486,80930
2020-10-12,21,5669,,2317618,174647
2020-10-12,22,9617,12882,2293217,139663
2020-10-12,23,4003,16107,1610574,131861
2020-10-12,24,143,463,485386,5752
2020-10-12,25,7225,,3909701,151396
2020-10-12,26,2197,8421,1476313,113439
2020-10-12,27,2422,,1303437,144230
2020-10-12,28,2,4,15121,77
2020-10-12,29,3101,6237,704655,105228
2020-10-12,30,212,904,381333,19125
2020-10-12,31,3773,,3185067,232747
2020-10-12,32,246,1099,232602,27737
2020-10-12,33,519,2526,459556,52382
2020-10-12,34,456,752,284433,9143
2020-10-12,35,16175,23906,3757500,214097
2020-10-12,36,911,3710,964390,32983
2020-10-12,37,1664,,654820,86348
2020-10-12,38,25587,89995,11656051,475315
2020-10-12,39,5005,16442,3491745,170179
2020-10-12,40,1104,7284,1240518,100184
2020-10-12,41,599,2804,707788,37467
2020-10-12,42,8368,,2044706,173304
2020-10-12,43,735,,305972,54234
2020-10-12,44,1137,2961,352269,26831
2020-10-12,45,3559,9600,1339762,158055
2020-10-12,46,288,1886,190319,28925
2020-10-12,47,2774,9248,2994038,217682
2020-10-12,48,16558,,6156268,795126
2020-10-12,49,522,4331,836099,86832
2020-10-12,50,3361,19504,2121521,159570
2020-10-12,51,20,,20620,1325
2020-10-12,52,58,,171839,1876
2020-10-12,53,2190,7786,1968403,93035
2020-10-12,54,1484,8454,1545692,160331
2020-10-12,55,385,,621153,18281
2020-10-12,56,54,338,103176,7802
2020-10-11,1,60,,492311,10686
